sample_name,Broken,species,object_num,age
MV1012-BC-12,broken,bulimina exilis,74,1994
MV1012-BC-12,unbroken,bolivina argentea,75,1994
MV1012-BC-12,broken,bolivina seminuda,76,1994
MV1012-BC-12,unbroken,suggrunda eckisi,77,1994
MV1012-BC-12,unbroken,suggrunda eckisi,78,1994
MV1012-BC-12,broken,NOT FORAM,79,1994
MV1012-BC-12,unbroken,bolivina argentea,80,1994
MV1012-BC-12,unbroken,bolivina seminuda,81,1994
MV1012-BC-12,unbroken,NOT FORAM,82,1994
MV1012-BC-12,unbroken,suggrunda eckisi,83,1994
MV1012-BC-12,unbroken,suggrunda eckisi,84,1994
MV1012-BC-12,unbroken,nonionella stella,85,1994
MV1012-BC-12,unbroken,suggrunda eckisi,86,1994
MV1012-BC-12,broken,bolivina argentea,87,1994
MV1012-BC-12,unbroken,suggrunda eckisi,88,1994
MV1012-BC-12,broken,suggrunda eckisi,89,1994
MV1012-BC-12,unbroken,NOT FORAM,90,1994
MV1012-BC-12,broken,nonionella stella,91,1994
MV1012-BC-12,unbroken,NOT FORAM,92,1994
MV1012-BC-12,unbroken,NOT FORAM,93,1994
MV1012-BC-12,unbroken,NOT FORAM,94,1994
MV1012-BC-12,broken,suggrunda eckisi,95,1994
MV1012-BC-12,unbroken,bulimina exilis,96,1994
MV1012-BC-12,broken,bolivina seminuda,97,1994
MV1012-BC-12,broken,bolivina argentea,98,1994
MV1012-BC-12,broken,fursenkoina bradyi,99,1994
MV1012-BC-12,broken,chilostomella oolina,100,1994
MV1012-BC-12,unbroken,suggrunda eckisi,101,1994
MV1012-BC-12,unbroken,nonionella stella,102,1994
MV1012-BC-12,broken,bolivina argentea,103,1994
MV1012-BC-12,broken,bolivina argentea,104,1994
MV1012-BC-12,broken,NOT FORAM,105,1994
MV1012-BC-12,broken,nonionella stella,106,1994
MV1012-BC-12,broken,bolivina argentea,107,1994
MV1012-BC-12,broken,suggrunda eckisi,108,1994
MV1012-BC-12,broken,bolivina argentea,109,1994
MV1012-BC-12,broken,nonionella stella,110,1994
MV1012-BC-12,broken,NOT FORAM,111,1994
MV1012-BC-12,unbroken,bolivina argentea,112,1994
MV1012-BC-12,unbroken,bolivina argentea,113,1994
MV1012-BC-12,unbroken,suggrunda eckisi,114,1994
MV1012-BC-12,unbroken,NOT FORAM,115,1994
MV1012-BC-12,unbroken,NOT FORAM,116,1994
MV1012-BC-12,unbroken,NOT FORAM,117,1994
MV1012-BC-12,unbroken,NOT FORAM,118,1994
MV1012-BC-12,broken,NOT FORAM,119,1994
MV1012-BC-12,unbroken,NOT FORAM,120,1994
MV1012-BC-12,unbroken,NOT FORAM,121,1994
MV1012-BC-12,unbroken,NOT FORAM,122,1994
MV1012-BC-12,unbroken,nonionella stella,123,1994
MV1012-BC-12,unbroken,suggrunda eckisi,124,1994
MV1012-BC-12,broken,bolivina argentea,125,1994
MV1012-BC-12,broken,bolivina argentea,126,1994
MV1012-BC-12,unbroken,NOT FORAM,127,1994
MV1012-BC-12,unbroken,nonionella stella,128,1994
MV1012-BC-12,unbroken,bolivina sp. a,129,1994
MV1012-BC-12,broken,bulimina exilis,130,1994
MV1012-BC-12,broken,bolivina argentea,131,1994
MV1012-BC-12,unbroken,NOT FORAM,132,1994
MV1012-BC-12,unbroken,bulimina exilis,133,1994
MV1012-BC-12,unbroken,nonionella stella,134,1994
MV1012-BC-12,broken,suggrunda eckisi,135,1994
MV1012-BC-12,unbroken,nonionella stella,136,1994
MV1012-BC-12,unbroken,NOT FORAM,137,1994
MV1012-BC-12,unbroken,NOT FORAM,138,1994
MV1012-BC-12,unbroken,bulimina exilis,139,1994
MV1012-BC-12,broken,bolivina spissa,140,1994
MV1012-BC-12,unbroken,bolivina argentea,141,1994
MV1012-BC-12,broken,bulimina exilis,142,1994
MV1012-BC-12,unbroken,bolivina argentea,143,1994
MV1012-BC-12,unbroken,suggrunda eckisi,144,1994
MV1012-BC-12,unbroken,suggrunda eckisi,145,1994
MV1012-BC-12,unbroken,NOT FORAM,146,1994
MV1012-BC-12,broken,nonionella stella,147,1994
MV1012-BC-12,unbroken,bulimina exilis,148,1994
MV1012-BC-12,broken,bolivina seminuda,149,1994
MV1012-BC-12,broken,suggrunda eckisi,150,1994
MV1012-BC-12,unbroken,NOT FORAM,151,1994
MV1012-BC-12,unbroken,nonionella stella,152,1994
MV1012-BC-12,unbroken,suggrunda eckisi,153,1994
MV1012-BC-12,unbroken,bolivina argentea,154,1994
MV1012-BC-12,unbroken,NOT FORAM,155,1994
MV1012-BC-12,unbroken,nonionella stella,156,1994
MV1012-BC-12,unbroken,suggrunda eckisi,157,1994
MV1012-BC-12,unbroken,nonionella stella,158,1994
MV1012-BC-12,broken,bolivina argentea,159,1994
MV1012-BC-12,unbroken,nonionella stella,160,1994
MV1012-BC-12,unbroken,NOT FORAM,161,1994
MV1012-BC-12,broken,suggrunda eckisi,162,1994
MV1012-BC-12,broken,nonionella stella,163,1994
MV1012-BC-12,broken,nonionella stella,164,1994
MV1012-BC-12,unbroken,nonionella stella,165,1994
MV1012-BC-12,unbroken,suggrunda eckisi,166,1994
MV1012-BC-12,unbroken,nonionella stella,167,1994
MV1012-BC-12,broken,bolivina argentea,168,1994
MV1012-BC-12,unbroken,bolivina seminuda,169,1994
MV1012-BC-12,unbroken,suggrunda eckisi,170,1994
MV1012-BC-12,unbroken,cibicidoides sp. a,171,1994
MV1012-BC-12,broken,suggrunda eckisi,172,1994
MV1012-BC-12,unbroken,NOT FORAM,173,1994
MV1012-BC-12,broken,bolivina argentea,174,1994
MV1012-BC-12,unbroken,suggrunda eckisi,175,1994
MV1012-BC-12,unbroken,suggrunda eckisi,176,1994
MV1012-BC-12,unbroken,NOT FORAM,177,1994
MV1012-BC-12,unbroken,nonionella stella,178,1994
MV1012-BC-12,unbroken,nonionella stella,179,1994
MV1012-BC-12,unbroken,suggrunda eckisi,180,1994
MV1012-BC-12,unbroken,bolivina seminuda var. humilis,181,1994
MV1012-BC-12,unbroken,suggrunda eckisi,182,1994
MV1012-BC-12,broken,NOT FORAM,183,1994
MV1012-BC-12,broken,nonionella stella,184,1994
MV1012-BC-12,broken,nonionella stella,185,1994
MV1012-BC-12,unbroken,nonionella stella,186,1994
MV1012-BC-12,unbroken,suggrunda eckisi,187,1994
MV1012-BC-12,broken,bulimina exilis,188,1994
MV1012-BC-12,broken,bolivina argentea,189,1994
MV1012-BC-12,broken,fursenkoina bradyi,190,1994
MV1012-BC-12,broken,suggrunda eckisi,191,1994
MV1012-BC-12,unbroken,suggrunda eckisi,192,1994
MV1012-BC-12,unbroken,chilostomella oolina,193,1994
MV1012-BC-12,broken,bolivina argentea,194,1994
MV1012-BC-12,unbroken,bolivina argentea,195,1994
MV1012-BC-12,broken,fursenkoina bradyi,196,1994
MV1012-BC-12,unbroken,NOT FORAM,197,1994
MV1012-BC-12,unbroken,bolivina argentea,198,1994
MV1012-BC-12,unbroken,bolivina argentea,199,1994
MV1012-BC-12,broken,nonionella stella,200,1994
MV1012-BC-12,unbroken,bolivina argentea,201,1994
MV1012-BC-12,unbroken,suggrunda eckisi,202,1994
MV1012-BC-12,unbroken,suggrunda eckisi,203,1994
MV1012-BC-12,unbroken,suggrunda eckisi,204,1994
MV1012-BC-12,broken,bolivina argentea,205,1994
MV1012-BC-12,unbroken,suggrunda eckisi,206,1994
MV1012-BC-12,unbroken,suggrunda eckisi,207,1994
MV1012-BC-12,unbroken,suggrunda eckisi,208,1994
MV1012-BC-12,unbroken,suggrunda eckisi,209,1994
MV1012-BC-12,unbroken,suggrunda eckisi,210,1994
MV1012-BC-12,broken,suggrunda eckisi,211,1994
MV1012-BC-12,unbroken,NOT FORAM,212,1994
MV1012-BC-12,broken,fursenkoina bradyi,213,1994
MV1012-BC-12,unbroken,fursenkoina bradyi,214,1994
MV1012-BC-12,broken,bulimina exilis,215,1994
MV1012-BC-12,broken,suggrunda eckisi,216,1994
MV1012-BC-12,unbroken,bolivina seminuda,217,1994
MV1012-BC-12,broken,suggrunda eckisi,218,1994
MV1012-BC-12,broken,bolivina alata,219,1994
MV1012-BC-12,broken,suggrunda eckisi,220,1994
MV1012-BC-12,unbroken,suggrunda eckisi,221,1994
MV1012-BC-12,unbroken,suggrunda eckisi,222,1994
MV1012-BC-12,unbroken,suggrunda eckisi,223,1994
MV1012-BC-12,unbroken,suggrunda eckisi,224,1994
MV1012-BC-12,broken,bulimina exilis,225,1994
MV1012-BC-12,broken,fursenkoina bradyi,226,1994
MV1012-BC-12,unbroken,NOT FORAM,227,1994
MV1012-BC-12,broken,suggrunda eckisi,228,1994
MV1012-BC-12,broken,suggrunda eckisi,229,1994
MV1012-BC-12,unbroken,nonionella stella,230,1994
MV1012-BC-12,broken,suggrunda eckisi,231,1994
MV1012-BC-12,broken,NOT FORAM,232,1994
MV1012-BC-12,broken,bolivina argentea,233,1994
MV1012-BC-12,broken,nonionella stella,234,1994
MV1012-BC-12,unbroken,suggrunda eckisi,235,1994
MV1012-BC-12,unbroken,nonionella stella,236,1994
MV1012-BC-12,broken,suggrunda eckisi,237,1994
MV1012-BC-12,unbroken,nonionella stella,238,1994
MV1012-BC-12,broken,suggrunda eckisi,239,1994
MV1012-BC-12,unbroken,NOT FORAM,240,1994
MV1012-BC-12,unbroken,suggrunda eckisi,241,1994
MV1012-BC-12,unbroken,bolivina argentea,242,1994
MV1012-BC-12,broken,bolivina seminuda,243,1994
MV1012-BC-12,broken,suggrunda eckisi,244,1994
MV1012-BC-12,unbroken,NOT FORAM,245,1994
MV1012-BC-12,unbroken,nonionella stella,246,1994
MV1012-BC-12,broken,chilostomella oolina,247,1994
MV1012-BC-12,unbroken,bolivina argentea,248,1994
MV1012-BC-12,broken,chilostomella oolina,249,1994
MV1012-BC-12,broken,suggrunda eckisi,250,1994
MV1012-BC-12,unbroken,bulimina exilis,251,1994
MV1012-BC-12,broken,NOT FORAM,252,1994
MV1012-BC-12,broken,chilostomella oolina,253,1994
MV1012-BC-12,unbroken,cibicidoides wuellerstorfi,254,1994
MV1012-BC-12,broken,suggrunda eckisi,255,1994
MV1012-BC-12,unbroken,suggrunda eckisi,256,1994
MV1012-BC-12,unbroken,suggrunda eckisi,257,1994
MV1012-BC-12,unbroken,suggrunda eckisi,258,1994
MV1012-BC-12,broken,suggrunda eckisi,259,1994
MV1012-BC-12,broken,chilostomella oolina,260,1994
MV1012-BC-12,broken,suggrunda eckisi,261,1994
MV1012-BC-12,broken,nonionella stella,262,1994
MV1012-BC-12,broken,bolivina argentea,263,1994
MV1012-BC-12,broken,bolivina argentea,264,1994
MV1012-BC-12,unbroken,bolivina seminuda,265,1994
MV1012-BC-12,unbroken,bolivina seminuda var. humilis,266,1994
MV1012-BC-12,unbroken,suggrunda eckisi,267,1994
MV1012-BC-12,unbroken,suggrunda eckisi,268,1994
MV1012-BC-12,unbroken,suggrunda eckisi,269,1994
MV1012-BC-12,unbroken,suggrunda eckisi,270,1994
MV1012-BC-12,unbroken,suggrunda eckisi,271,1994
MV1012-BC-12,broken,suggrunda eckisi,272,1994
MV1012-BC-12,unbroken,bolivina argentea,273,1994
MV1012-BC-12,broken,chilostomella ovoidea,274,1994
MV1012-BC-12,unbroken,suggrunda eckisi,275,1994
MV1012-BC-12,broken,suggrunda eckisi,276,1994
MV1012-BC-12,unbroken,nonionella stella,277,1994
MV1012-BC-12,unbroken,suggrunda eckisi,278,1994
MV1012-BC-12,unbroken,suggrunda eckisi,279,1994
MV1012-BC-12,unbroken,bolivina seminuda,280,1994
MV1012-BC-12,broken,suggrunda eckisi,281,1994
MV1012-BC-12,unbroken,suggrunda eckisi,282,1994
MV1012-BC-12,unbroken,suggrunda eckisi,283,1994
MV1012-BC-12,broken,bolivina argentea,284,1994
MV1012-BC-12,broken,suggrunda eckisi,285,1994
MV1012-BC-12,unbroken,nonionella stella,286,1994
MV1012-BC-12,unbroken,NOT FORAM,287,1994
MV1012-BC-12,broken,bulimina exilis,288,1994
MV1012-BC-12,broken,suggrunda eckisi,289,1994
MV1012-BC-12,broken,suggrunda eckisi,290,1994
MV1012-BC-12,unbroken,suggrunda eckisi,291,1994
MV1012-BC-12,broken,nonionella stella,292,1994
MV1012-BC-12,unbroken,NOT FORAM,293,1994
MV1012-BC-12,broken,nonionella stella,294,1994
MV1012-BC-12,unbroken,NOT FORAM,295,1994
MV1012-BC-12,broken,suggrunda eckisi,296,1994
MV1012-BC-12,broken,suggrunda eckisi,297,1994
MV1012-BC-12,unbroken,suggrunda eckisi,298,1994
MV1012-BC-12,unbroken,suggrunda eckisi,299,1994
MV1012-BC-12,broken,suggrunda eckisi,300,1994
MV1012-BC-12,unbroken,suggrunda eckisi,301,1994
MV1012-BC-12,broken,suggrunda eckisi,302,1994
MV1012-BC-12,broken,suggrunda eckisi,303,1994
MV1012-BC-12,unbroken,nonionella stella,304,1994
MV1012-BC-12,broken,nonionella stella,305,1994
MV1012-BC-12,unbroken,NOT FORAM,306,1994
MV1012-BC-12,unbroken,NOT FORAM,307,1994
MV1012-BC-12,broken,suggrunda eckisi,308,1994
MV1012-BC-12,unbroken,NOT FORAM,309,1994
MV1012-BC-12,unbroken,bolivina spissa,310,1994
MV1012-BC-12,unbroken,nonionella stella,311,1994
MV1012-BC-12,broken,suggrunda eckisi,312,1994
MV1012-BC-12,unbroken,suggrunda eckisi,313,1994
MV1012-BC-12,broken,suggrunda eckisi,314,1994
MV1012-BC-12,unbroken,NOT FORAM,315,1994
MV1012-BC-12,broken,suggrunda eckisi,316,1994
MV1012-BC-12,unbroken,bolivina seminuda,317,1994
MV1012-BC-12,broken,suggrunda eckisi,318,1994
MV1012-BC-12,broken,suggrunda eckisi,319,1994
MV1012-BC-12,broken,nonionella stella,320,1994
MV1012-BC-12,broken,suggrunda eckisi,321,1994
MV1012-BC-12,broken,bolivina argentea,322,1994
MV1012-BC-12,unbroken,NOT FORAM,323,1994
MV1012-BC-14,unbroken,NOT FORAM,1,1990.5
MV1012-BC-14,unbroken,NOT FORAM,2,1990.5
MV1012-BC-14,broken,suggrunda eckisi,3,1990.5
MV1012-BC-14,unbroken,NOT FORAM,4,1990.5
MV1012-BC-14,unbroken,melonis affinis,5,1990.5
MV1012-BC-14,unbroken,nonionella stella,6,1990.5
MV1012-BC-14,broken,bolivina argentea,7,1990.5
MV1012-BC-14,unbroken,bolivina argentea,8,1990.5
MV1012-BC-14,unbroken,bolivina seminuda,9,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,10,1990.5
MV1012-BC-14,unbroken,bolivina seminuda,11,1990.5
MV1012-BC-14,unbroken,nonionella stella,12,1990.5
MV1012-BC-14,unbroken,NOT FORAM,13,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,14,1990.5
MV1012-BC-14,broken,suggrunda eckisi,15,1990.5
MV1012-BC-14,unbroken,NOT FORAM,16,1990.5
MV1012-BC-14,unbroken,nonionella stella,17,1990.5
MV1012-BC-14,unbroken,bolivina argentea,18,1990.5
MV1012-BC-14,unbroken,nonionella stella,19,1990.5
MV1012-BC-14,unbroken,nonionella stella,20,1990.5
MV1012-BC-14,broken,bolivina argentea,21,1990.5
MV1012-BC-14,broken,bolivina argentea,22,1990.5
MV1012-BC-14,unbroken,bolivina argentea,23,1990.5
MV1012-BC-14,unbroken,nonionella stella,24,1990.5
MV1012-BC-14,unbroken,bolivina pacifica,25,1990.5
MV1012-BC-14,broken,NOT FORAM,26,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,27,1990.5
MV1012-BC-14,broken,nonionella stella,28,1990.5
MV1012-BC-14,unbroken,NOT FORAM,29,1990.5
MV1012-BC-14,unbroken,nonionella decora,30,1990.5
MV1012-BC-14,unbroken,nonionella stella,31,1990.5
MV1012-BC-14,unbroken,bolivina argentea,32,1990.5
MV1012-BC-14,unbroken,NOT FORAM,33,1990.5
MV1012-BC-14,unbroken,NOT FORAM,34,1990.5
MV1012-BC-14,unbroken,nonionella stella,35,1990.5
MV1012-BC-14,unbroken,NOT FORAM,36,1990.5
MV1012-BC-14,broken,bulimina exilis,37,1990.5
MV1012-BC-14,unbroken,bolivina argentea,38,1990.5
MV1012-BC-14,unbroken,nonionella stella,39,1990.5
MV1012-BC-14,broken,bolivina argentea,40,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,41,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,42,1990.5
MV1012-BC-14,unbroken,bolivina argentea,43,1990.5
MV1012-BC-14,unbroken,nonionella stella,44,1990.5
MV1012-BC-14,unbroken,nonionella stella,45,1990.5
MV1012-BC-14,unbroken,NOT FORAM,46,1990.5
MV1012-BC-14,unbroken,NOT FORAM,47,1990.5
MV1012-BC-14,unbroken,nonionella stella,48,1990.5
MV1012-BC-14,unbroken,bolivina seminuda,49,1990.5
MV1012-BC-14,unbroken,nonionella stella,50,1990.5
MV1012-BC-14,unbroken,bolivina argentea,51,1990.5
MV1012-BC-14,unbroken,nonionella stella,52,1990.5
MV1012-BC-14,broken,suggrunda eckisi,53,1990.5
MV1012-BC-14,broken,nonionella stella,54,1990.5
MV1012-BC-14,broken,NOT FORAM,55,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,56,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,57,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,58,1990.5
MV1012-BC-14,broken,NOT FORAM,59,1990.5
MV1012-BC-14,unbroken,nonionella stella,60,1990.5
MV1012-BC-14,unbroken,nonionella stella,61,1990.5
MV1012-BC-14,broken,bulimina exilis,62,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,63,1990.5
MV1012-BC-14,broken,NOT FORAM,64,1990.5
MV1012-BC-14,broken,NOT FORAM,65,1990.5
MV1012-BC-14,broken,nonionella stella,66,1990.5
MV1012-BC-14,broken,bolivina argentea,67,1990.5
MV1012-BC-14,unbroken,bolivina pacifica,68,1990.5
MV1012-BC-14,unbroken,bolivina pacifica,69,1990.5
MV1012-BC-14,broken,nonionella stella,70,1990.5
MV1012-BC-14,broken,nonionella stella,71,1990.5
MV1012-BC-14,unbroken,nonionella stella,72,1990.5
MV1012-BC-14,unbroken,bolivina argentea,73,1990.5
MV1012-BC-14,unbroken,NOT FORAM,74,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,75,1990.5
MV1012-BC-14,unbroken,nonionella stella,76,1990.5
MV1012-BC-14,unbroken,nonionella stella,77,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,78,1990.5
MV1012-BC-14,broken,NOT FORAM,79,1990.5
MV1012-BC-14,broken,bolivina argentea,80,1990.5
MV1012-BC-14,broken,NOT FORAM,81,1990.5
MV1012-BC-14,broken,NOT FORAM,82,1990.5
MV1012-BC-14,unbroken,nonionella stella,83,1990.5
MV1012-BC-14,unbroken,bolivina argentea,84,1990.5
MV1012-BC-14,unbroken,NOT FORAM,85,1990.5
MV1012-BC-14,unbroken,NOT FORAM,86,1990.5
MV1012-BC-14,broken,NOT FORAM,87,1990.5
MV1012-BC-14,broken,nonionella stella,88,1990.5
MV1012-BC-14,broken,suggrunda eckisi,89,1990.5
MV1012-BC-14,broken,suggrunda eckisi,90,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,91,1990.5
MV1012-BC-14,broken,nonionella stella,92,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,93,1990.5
MV1012-BC-14,unbroken,bolivina pacifica,94,1990.5
MV1012-BC-14,unbroken,nonionella stella,95,1990.5
MV1012-BC-14,broken,suggrunda eckisi,96,1990.5
MV1012-BC-14,unbroken,bolivina pacifica,97,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,98,1990.5
MV1012-BC-14,unbroken,nonionella decora,99,1990.5
MV1012-BC-14,unbroken,NOT FORAM,100,1990.5
MV1012-BC-14,unbroken,nonionella stella,101,1990.5
MV1012-BC-14,broken,bolivina argentea,102,1990.5
MV1012-BC-14,unbroken,nonionella stella,103,1990.5
MV1012-BC-14,unbroken,chilostomella oolina,104,1990.5
MV1012-BC-14,unbroken,bolivina argentea,105,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,106,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,107,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,108,1990.5
MV1012-BC-14,unbroken,nonionella stella,109,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,110,1990.5
MV1012-BC-14,broken,NOT FORAM,111,1990.5
MV1012-BC-14,unbroken,nonionella stella,112,1990.5
MV1012-BC-14,broken,suggrunda eckisi,113,1990.5
MV1012-BC-14,unbroken,nonionella stella,114,1990.5
MV1012-BC-14,broken,suggrunda eckisi,115,1990.5
MV1012-BC-14,broken,suggrunda eckisi,116,1990.5
MV1012-BC-14,broken,NOT FORAM,117,1990.5
MV1012-BC-14,unbroken,bolivina argentea,118,1990.5
MV1012-BC-14,broken,nonionella stella,119,1990.5
MV1012-BC-14,broken,nonionella stella,120,1990.5
MV1012-BC-14,broken,nonionella stella,121,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,122,1990.5
MV1012-BC-14,broken,NOT FORAM,123,1990.5
MV1012-BC-14,broken,fursenkoina bradyi,124,1990.5
MV1012-BC-14,unbroken,nonionella stella,125,1990.5
MV1012-BC-14,unbroken,bolivina pacifica,126,1990.5
MV1012-BC-14,broken,nonionella stella,127,1990.5
MV1012-BC-14,broken,nonionella stella,128,1990.5
MV1012-BC-14,unbroken,nonionella stella,129,1990.5
MV1012-BC-14,broken,suggrunda eckisi,130,1990.5
MV1012-BC-14,unbroken,nonionella stella,131,1990.5
MV1012-BC-14,unbroken,chilostomella oolina,132,1990.5
MV1012-BC-14,broken,suggrunda eckisi,133,1990.5
MV1012-BC-14,broken,suggrunda eckisi,134,1990.5
MV1012-BC-14,broken,bolivina argentea,135,1990.5
MV1012-BC-14,unbroken,NOT FORAM,136,1990.5
MV1012-BC-14,unbroken,nonionella stella,137,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,138,1990.5
MV1012-BC-14,unbroken,chilostomella oolina,139,1990.5
MV1012-BC-14,broken,nonionella stella,140,1990.5
MV1012-BC-14,broken,NOT FORAM,141,1990.5
MV1012-BC-14,unbroken,bolivina argentea,142,1990.5
MV1012-BC-14,unbroken,nonionella stella,143,1990.5
MV1012-BC-14,unbroken,nonionella stella,144,1990.5
MV1012-BC-14,unbroken,bolivina pacifica,145,1990.5
MV1012-BC-14,unbroken,nonionella stella,146,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,147,1990.5
MV1012-BC-14,unbroken,nonionella stella,148,1990.5
MV1012-BC-14,unbroken,bolivina argentea,149,1990.5
MV1012-BC-14,unbroken,nonionella stella,150,1990.5
MV1012-BC-14,unbroken,bulimina exilis,151,1990.5
MV1012-BC-14,unbroken,NOT FORAM,152,1990.5
MV1012-BC-14,unbroken,nonionella stella,153,1990.5
MV1012-BC-14,unbroken,nonionella decora,154,1990.5
MV1012-BC-14,broken,nonionella stella,155,1990.5
MV1012-BC-14,unbroken,nonionella stella,156,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,157,1990.5
MV1012-BC-14,broken,bolivina argentea,158,1990.5
MV1012-BC-14,broken,nonionella stella,159,1990.5
MV1012-BC-14,broken,bolivina argentea,160,1990.5
MV1012-BC-14,broken,NOT FORAM,161,1990.5
MV1012-BC-14,unbroken,nonionella stella,162,1990.5
MV1012-BC-14,broken,nonionella stella,163,1990.5
MV1012-BC-14,unbroken,suggrunda eckisi,164,1990.5
MV1012-BC-14,unbroken,nonionella stella,165,1990.5
MV1012-BC-14,unbroken,nonionella stella,166,1990.5
MV1012-BC-14,unbroken,nonionella stella,167,1990.5
MV1012-BC-14,unbroken,bulimina exilis,168,1990.5
